plate,fiberid,mjd,z,zwarning,h_beta_flux,h_beta_flux_err,oii_3729_flux,oii_3729_flux_err,oii_3726_flux,oii_3726_flux_err,oiii_4959_flux,oiii_4959_flux_err,oiii_5007_flux,oiii_5007_flux_err
851,456,52376,0.1352257,0,25.1868,2.884511,33.01063,4.369327,38.49025,4.29449,5.412974,3.172264,16.38929,3.540346
2274,364,53726,0.09160618,0,44.5106,2.32579,34.68467,4.43882,36.12391,4.447652,10.09983,2.353815,26.39867,2.642726
1989,140,53772,0.08536381,0,27.35638,2.909671,11.98757,6.554755,33.9875,6.541682,2.615405,2.741711,18.78704,2.894048
1656,485,53533,0.1754296,0,22.12329,3.936487,9.193316,8.132367,32.95074,8.38964,23.37359,5.400233,69.12602,5.885024
400,366,51820,0.07960193,0,24.82089,3.072977,14.03242,6.003881,18.31434,6.323816,7.828336,3.237245,8.06674,3.250629
1156,121,52641,0.1369437,0,13.41567,2.057531,18.35678,5.18897,19.44532,5.24993,2.007915,2.349717,21.57071,3.669126
1994,345,53845,0.130492,0,15.20256,2.416394,7.952548,3.911881,12.63591,3.543229,2.280626,2.384965,4.374231,2.516917
296,319,51984,0.03347733,0,40.49438,3.072611,31.69977,9.600342,41.51744,9.903879,11.25383,3.049513,19.09305,3.237986
2218,199,53816,0.1007004,0,15.03504,1.989443,18.19691,3.660443,10.34199,3.564117,5.242075,2.218212,5.412961,2.05748
2659,637,54498,0.2712816,0,31.50883,2.630967,33.94897,3.079858,24.81956,2.88618,13.83879,3.411716,48.12247,3.810374
2659,527,54498,0.1856361,0,9.029724,1.657926,13.01168,2.366076,8.681334,2.278289,5.575934,2.059835,11.65629,1.971106
1738,497,53051,0.05444192,0,18.74267,3.285124,47.54036,6.4989,55.07669,6.55448,9.466996,3.571951,41.30234,3.797726
835,628,52326,0.1038016,0,40.20016,3.23567,16.89143,6.559593,64.32529,6.723031,6.420513,3.25847,16.0854,3.414309
2423,602,54149,0.04399493,0,14.63828,1.86112,15.36942,5.061763,23.90237,5.317404,2.904642,1.95486,9.930673,2.068141
761,526,54524,0.1360129,0,38.4168,2.193986,34.17391,3.677049,49.12487,3.814727,12.17845,2.110321,30.35016,2.778428
1400,125,53470,0.05761975,0,44.68433,2.78697,45.22685,6.21821,33.05698,5.996387,17.34679,3.041442,55.63598,3.206604
2570,298,54081,0.1177513,0,21.11319,2.913816,67.03746,7.948081,33.14558,7.642982,11.82302,3.259399,47.07645,3.275495
2420,157,54086,0.1001944,0,8.212365,1.476752,8.998493,2.656721,5.159906,2.718926,-0.2749076,1.407987,2.908383,1.416832
776,633,52319,0.1562403,0,45.67687,7.012038,32.72359,10.48773,137.3951,10.67386,120.9519,6.625692,369.0732,8.542867
483,143,51924,0.08527225,0,31.37209,3.28456,11.12288,7.96463,37.57319,7.577333,10.46159,3.383135,17.50883,3.382069
727,2,52207,0.1754174,0,20.49483,3.363243,5.37422,5.480162,11.4082,5.974912,6.6104,4.4478,2.294868,5.047808
1865,638,53312,0.06841437,0,12.90144,2.357566,24.03028,5.013916,27.65367,5.432201,4.841871,2.439221,6.215332,2.50474
1300,508,52973,0.06387475,0,27.49252,2.599252,18.45317,4.394199,23.27784,4.424176,4.156413,2.598057,26.04684,2.899796
2139,351,53878,0.1298735,0,13.03559,2.456224,23.77577,4.074317,12.96064,4.070034,7.165664,2.458908,9.899026,2.55794
2297,283,53738,0.1627362,0,16.07402,2.345543,11.0139,3.191258,4.77622,2.977899,0.488632,2.603364,5.044962,2.616811
301,91,51942,0.1063117,0,21.98931,2.384295,19.39866,4.772176,14.57051,4.622288,7.204315,2.403639,18.4718,2.508632
859,600,52317,0.0780323,0,23.92271,2.729911,19.90911,5.553609,21.53209,5.369237,5.260998,2.946217,14.8912,2.978277
1019,261,52707,0.008177739,0,8340.336,76.26853,0.0,-0.8677735,0.0,-0.8677735,2265.867,39.68792,6863.945,70.69194
2597,442,54231,0.003003062,0,76.51117,6.386838,0.0,-0.7320216,0.0,-0.7320216,113.7499,9.048084,295.3256,10.39771
2125,297,53795,0.1172307,0,37.79837,3.004606,32.01362,5.661829,21.33455,5.505361,11.29351,2.867886,19.77307,2.995727
1556,13,53740,0.1745997,0,11.3136,1.842109,10.78285,2.432884,16.09554,2.550919,2.675262,2.239976,11.90829,2.098809
2518,620,54243,0.1008172,0,36.83258,2.736582,38.99604,4.406253,38.90531,4.368179,9.884925,3.184839,20.2576,3.008806
