plate,fiberid,mjd,z,zwarning,h_beta_flux,h_beta_flux_err,h_alpha_flux,h_alpha_flux_err,nii_6584_flux,nii_6584_flux_err,sii_6717_flux,sii_6717_flux_err,oi_6300_flux,oi_6300_flux_err,oiii_5007_flux,oiii_5007_flux_err
1815,152,53884,0.08901037,0,20.03181,3.369605,206.7112,4.96588,121.0353,4.177317,24.48729,4.024613,7.405242,3.295906,13.80859,3.483674
2764,521,54535,0.1032805,0,65.1987,3.021248,652.6014,7.976494,541.1053,6.812222,132.6907,4.707025,40.90143,3.618199,56.33809,3.360894
1839,264,53471,0.03526083,0,116.8536,4.143806,1349.253,12.93396,842.2194,9.413368,197.8643,6.586201,48.42504,4.822217,40.63727,4.016312
2651,126,54507,0.04588925,0,31.76184,4.465855,319.7136,7.579971,286.6224,6.977634,103.2491,5.655258,40.34616,4.966942,32.78878,4.984513
713,523,52178,0.04784027,0,41.86589,2.924171,454.2248,5.657104,256.1704,4.313074,99.84724,3.410787,29.15544,2.788166,72.34504,3.386838
1438,275,53054,0.02500547,0,134.549,4.773006,1359.17,13.36449,872.5649,9.812248,262.0497,7.086467,61.13643,5.02228,64.56565,4.745228
1374,103,53083,0.03905982,0,57.36127,3.447483,623.5309,7.271778,621.4141,6.830449,133.7301,4.581919,43.64579,3.822657,38.70695,3.741902
1426,579,52993,0.05266351,0,44.48122,2.819804,465.9279,5.933955,283.0043,4.402694,90.94261,3.311181,22.82911,2.636034,28.59156,2.837651
333,401,52313,0.1972694,0,38.00791,2.352933,427.2742,74.92846,65.71926,4.110087,32.15933,2.090866,5.373123,1.553196,23.66227,1.903273
893,6,52589,0.1650247,0,19.25908,2.921396,201.541,5.082927,203.6407,4.741178,36.92078,5.049018,16.06895,3.832029,20.3906,3.562133
728,71,52520,0.04665691,0,16.34222,2.69024,175.6354,4.221559,148.3933,3.492053,25.98138,2.436629,7.305902,2.245344,3.762913,2.602035
883,75,52430,0.05702923,0,56.90227,7.006011,572.3018,14.91785,946.6678,13.96683,254.639,7.856053,112.5794,6.692901,128.6012,7.61803
1847,192,54176,0.07344827,0,16.11773,2.966092,228.4629,5.527992,192.6998,5.066791,58.71666,4.010093,13.8731,3.255742,25.15416,3.370515
882,589,52370,0.06315915,0,83.10341,3.066301,832.7147,8.772003,568.2493,6.252295,144.6485,4.146345,47.75915,3.275729,68.87142,3.560325
2017,2,53474,0.09926645,0,63.76698,8.751252,641.3117,14.30372,529.7087,11.89886,175.0904,7.746339,63.50527,6.585244,169.1779,7.336672
2035,251,53436,0.1526686,0,42.03484,2.789276,427.1484,58.8157,129.4313,9.960434,0,-0.7672461,6.525086,2.092104,18.44106,3.158289
2884,440,54526,0.05504708,0,37.43126,4.151106,514.2588,9.696898,689.6659,10.0362,199.8885,7.593397,71.63633,6.358097,83.55623,5.32382
674,350,52201,0.1306821,0,22.30707,2.652433,231.711,3.95083,180.0754,3.663958,34.91447,3.360459,8.32421,2.030617,13.22283,2.749393
