plate,fiberid,mjd,z,zwarning,nii_6584_flux,nii_6584_flux_err,h_beta_flux,h_beta_flux_err,h_alpha_flux,h_alpha_flux_err,oii_3729_flux,oii_3729_flux_err,oii_3726_flux,oii_3726_flux_err,oiii_4959_flux,oiii_4959_flux_err,oiii_5007_flux,oiii_5007_flux_err
603,55,52056,0.009519197,0,1146.158,12.38887,70.22903,4.550086,1371.672,14.65656,0.0,-0.7315813,0.0,-0.7315813,14.05649,4.630993,59.13827,4.978211
1879,411,54478,0.0007008419,0,17620.34,109.3207,2252.112,25.33994,33024.26,468.1544,0.0,-0.758413,0.0,-0.758413,275.8305,12.1951,780.1848,16.53868
1579,18,53473,0.1771355,0,387.1739,10.72925,27.83117,5.193339,346.6914,12.49835,92.3697,14.23561,79.40627,13.5376,63.76973,6.765666,216.8034,9.44676
286,27,51999,0.03486705,0,270.8336,9.257136,54.41446,6.30436,555.6547,11.11659,70.91062,10.8489,29.57531,11.24394,24.57205,6.546224,41.95224,6.525334
1634,320,53299,0.345246,0,27.17761,3.27907,11.35064,1.210803,118.8577,20.15804,5.661312,2.431731,18.0145,2.520032,2.871577,1.105508,6.3444,1.098984
2285,108,53700,0.1165873,0,175.2587,3.72871,16.35412,2.902294,188.724,4.362185,23.08371,5.647388,26.62707,5.631074,32.27132,2.949886,112.5857,3.566401
2141,472,53764,0.1260788,0,85.6152,2.337514,8.572111,1.613472,97.36565,2.401497,15.6352,2.523499,12.72847,2.45818,3.234894,1.861972,3.358645,1.788967
1408,119,52822,0.1326439,0,157.0611,4.769422,23.20755,3.623521,260.4392,5.801888,19.92875,7.112251,32.85004,7.161689,3.765745,3.951487,16.93034,4.021432
2483,63,53852,0.06201394,0,111.2468,3.396769,20.78731,2.467698,210.4587,4.096494,33.62796,6.251011,7.685036,6.09928,4.778887,2.530645,13.08715,2.798372
606,1,52365,0.2227208,0,77.85923,3.465513,14.06398,2.400089,154.0322,4.887139,15.92815,2.624863,4.975433,2.392972,9.726164,2.000227,19.59798,1.971189
2275,349,53709,0.03626165,0,1157.015,8.120209,1289.027,10.29816,13482.17,588.0063,1750.876,19.03558,1677.05,18.31368,617.5244,7.276678,1868.851,14.24721
2746,99,54232,0.2645458,0,197.3368,6.648318,23.20257,3.703487,251.9031,11.78946,30.20787,6.21619,33.66022,6.294027,18.39647,2.983658,48.23737,2.844429
1864,581,53313,0.07001884,0,291.0345,4.725135,25.63345,3.309768,310.4954,4.79727,55.67214,8.765693,29.47503,8.514405,23.56327,3.682041,58.67827,3.85064
915,423,52443,0.1447103,0,200.6634,4.554822,20.34086,3.441679,208.94,4.436717,79.40424,8.878983,-11.40803,9.07499,14.03106,3.955003,19.59418,4.056978
1970,89,53386,0.2065804,0,95.83994,4.312345,36.74401,3.578556,417.9505,70.38342,54.59203,5.545572,20.1506,5.335635,3.858585,2.830339,25.70537,2.949713
